,Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye FAM performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye ROX performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye SYBR performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Pure Dye VIC performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date Created,2018-01-24 18:18:09 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment File Name,E:\SsidNut\Ssid_plate3_CD_Quant.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment Name,Ssid_plate3_CD_Quant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment Run End Time,2018-01-24 09:46:40 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
